iter	Logloss
0	0.6812215477
1	0.6706460678
2	0.6615575246
3	0.6528906115
4	0.6434764245
5	0.6352638018
6	0.6280833081
7	0.6203401237
8	0.6129751946
9	0.605936796
10	0.5995755473
11	0.5937844893
12	0.5878489347
13	0.582057618
14	0.5769370596
15	0.5716814629
16	0.566854442
17	0.5620253891
18	0.5574083705
19	0.5535989218
20	0.5501987632
21	0.5464230833
22	0.5431045019
23	0.5407232455
24	0.5380210744
25	0.5352040376
26	0.5323466186
27	0.5302053647
28	0.5279122989
29	0.525611733
30	0.5236045569
31	0.5218302896
32	0.5199970192
33	0.5184129879
34	0.5164408367
35	0.5146589585
36	0.5128217718
37	0.5114477797
38	0.5098115434
39	0.5080039506
40	0.5065481965
41	0.5049359382
42	0.5033843826
43	0.5023328569
44	0.5010050844
45	0.4999472408
46	0.4989947678
47	0.4980776154
48	0.4967001872
49	0.4957166425
50	0.4949854402
51	0.4940154917
52	0.4929666999
53	0.4920211728
54	0.4911572968
55	0.4903854538
56	0.4895802853
57	0.4890017817
58	0.4884152238
59	0.4877012755
60	0.4871125009
61	0.4865700937
62	0.4860967021
63	0.4856022881
64	0.4850183164
65	0.4845120796
66	0.4840461881
67	0.4834708619
68	0.483048456
69	0.4825483153
70	0.4820865986
71	0.4816034901
72	0.4811838552
73	0.4806063492
74	0.4801776994
75	0.4797085566
76	0.4791788589
77	0.4785909341
78	0.4780435761
79	0.4777062943
80	0.4772378165
81	0.4768911503
82	0.4765565286
83	0.4760909326
84	0.4756894752
85	0.4753406292
86	0.4751292969
87	0.4746669522
88	0.4741908635
89	0.4737664994
90	0.4735666944
91	0.4732134887
92	0.4729539786
93	0.4726864143
94	0.472308233
95	0.4720490923
96	0.4718490287
97	0.4716714283
98	0.4712665349
99	0.4708075523
100	0.4704954677
101	0.4701933956
102	0.4698824195
103	0.4696189561
104	0.4694313433
105	0.4691263525
106	0.4689708459
107	0.4686994022
108	0.4684926143
109	0.4682822796
110	0.4680870928
111	0.4679059087
112	0.4676713373
113	0.467557506
114	0.4673660508
115	0.4671555683
116	0.4669570195
117	0.466822757
118	0.4666625582
119	0.4664338613
120	0.4662170979
121	0.4660651382
122	0.4658803333
123	0.4657213538
124	0.4655623005
125	0.4653697369
126	0.4652737876
127	0.4651036134
128	0.4648979339
129	0.4646899268
130	0.4644876094
131	0.4643198367
132	0.4641880127
133	0.4640306588
134	0.4639118768
135	0.4637592151
136	0.4636916405
137	0.4634998898
138	0.4633443463
139	0.4631891722
140	0.463021067
141	0.4629023958
142	0.46281439
143	0.4626745856
144	0.4625836979
145	0.462461406
146	0.462330912
147	0.4622178936
148	0.4620985943
149	0.4619858345
150	0.461920957
151	0.4617722855
152	0.4615695987
153	0.4613531309
154	0.4612363439
155	0.4611812941
156	0.4611049633
157	0.4610100485
158	0.4607957975
159	0.4606817815
160	0.460597692
161	0.4604991195
162	0.4603802636
163	0.4602622944
164	0.4600644105
165	0.4600118361
166	0.4598398885
167	0.4596992343
168	0.4595616836
169	0.4594742319
170	0.4593425557
171	0.4592625302
172	0.4591525783
173	0.4590315056
174	0.4589191892
175	0.4586672531
176	0.4585735575
177	0.4584696648
178	0.4582550443
179	0.4580679488
180	0.4580019259
181	0.4578766783
182	0.4575639657
183	0.4574108606
184	0.4572859086
185	0.4570696256
186	0.456945043
187	0.4567432798
188	0.4565687829
189	0.4564954077
190	0.4563984979
191	0.4561986559
192	0.4560946523
193	0.4559398477
194	0.4557665331
195	0.455636113
196	0.4554893627
197	0.4553178585
198	0.4551477951
199	0.455013311
200	0.4549464753
201	0.4547491826
202	0.4546670143
203	0.4544891553
204	0.454349942
205	0.4543091164
206	0.4542184874
207	0.454122649
208	0.4539992487
209	0.4538920308
210	0.4538128551
211	0.4536914129
212	0.4535933577
213	0.4535101179
214	0.4533827644
215	0.4532885516
216	0.4531485255
217	0.4529650507
218	0.4528016007
219	0.452666082
220	0.4525608593
221	0.452430587
222	0.4522662872
223	0.4520784158
224	0.4519242393
225	0.4517401733
226	0.4516196548
227	0.4514192587
228	0.4513465116
229	0.4511943672
230	0.4510938365
231	0.4510084539
232	0.4509127632
233	0.4507469117
234	0.4506259868
235	0.4505238306
236	0.4504394455
237	0.4503356636
238	0.4501703294
239	0.4500574957
240	0.4499217184
241	0.4497966925
242	0.4496925042
243	0.4496262966
244	0.449536776
245	0.4494256787
246	0.4493106283
247	0.4492025237
248	0.4490420294
249	0.4489109443
250	0.4488234926
251	0.4487356346
252	0.4485981208
253	0.4485248565
254	0.448389264
255	0.4482695583
256	0.4481552467
257	0.4480845687
258	0.447905786
259	0.4478379158
260	0.4476708082
261	0.4475106834
262	0.4474203869
263	0.4472687966
264	0.4471547437
265	0.4471124772
266	0.4470337818
267	0.446833164
268	0.4466748865
269	0.4466253047
270	0.4465095153
271	0.4463231956
272	0.4462692172
273	0.4461583417
274	0.4460748432
275	0.4459461596
276	0.4458372792
277	0.4456847283
278	0.4455367958
279	0.445426733
280	0.4451814472
281	0.4450828009
282	0.4449322821
283	0.4448476753
284	0.4446910234
285	0.4445286079
286	0.4444128924
287	0.4442408709
288	0.4439881958
289	0.4438702266
290	0.4435847433
291	0.443463449
292	0.4433072404
293	0.4432009832
294	0.4431084699
295	0.442919564
296	0.4428426789
297	0.4426609775
298	0.4425357299
299	0.4423442008
300	0.4422421924
301	0.4421430657
302	0.4420384341
303	0.4419040977
304	0.4418000572
305	0.4417177411
306	0.4416006955
307	0.4415208179
308	0.4414544625
309	0.4412880568
310	0.4411181043
311	0.4410515272
312	0.4408585942
313	0.4407730268
314	0.4406300081
315	0.4404969648
316	0.4403674314
317	0.4402361985
318	0.4401468257
319	0.4400599652
320	0.4398631158
321	0.4397462919
322	0.4396354533
323	0.4395004519
324	0.4394147367
325	0.4392106459
326	0.4390765682
327	0.4389332169
328	0.4387383996
329	0.438538336
330	0.4383293313
331	0.4381589355
332	0.4379883549
333	0.4378635875
334	0.4376669599
335	0.4375243106
336	0.4373954792
337	0.4372579655
338	0.4371709202
339	0.4370305985
340	0.4368555475
341	0.4366804225
342	0.436554362
343	0.436428745
344	0.4363330913
345	0.4361495056
346	0.4360440611
347	0.4359188135
348	0.4358624336
349	0.4356782568
350	0.4355236739
351	0.4354181556
352	0.4353036963
353	0.4352258506
354	0.435019617
355	0.4348703543
356	0.4347828288
357	0.4346491205
358	0.4345551293
359	0.4344094505
360	0.4342908162
361	0.4341917265
362	0.4340531044
363	0.4339333248
364	0.4338199369
365	0.4336319547
366	0.4335668555
367	0.4334481843
368	0.4332916432
369	0.4331613709
370	0.4330115911
371	0.4328003696
372	0.4326941493
373	0.4325635815
374	0.4323718676
375	0.4322806475
376	0.4321712867
377	0.4320464086
378	0.4318643377
379	0.4317923665
380	0.4316030172
381	0.4314687917
382	0.4312386169
383	0.4311893676
384	0.4310721373
385	0.4309605598
386	0.4307716908
387	0.4305470579
388	0.4303814281
389	0.4301997637
390	0.4300927675
391	0.4299951556
392	0.4298559793
393	0.4297439215
394	0.4296483416
395	0.429505249
396	0.4293361093
397	0.4292418965
398	0.4291796052
399	0.4290821042
400	0.4289872633
401	0.4287314109
402	0.4285606825
403	0.428399671
404	0.4283091897
405	0.4282230681
406	0.4280364898
407	0.427965627
408	0.4278927322
409	0.427717718
410	0.4275530858
411	0.427418306
412	0.4272911742
413	0.4270949529
414	0.4269617249
415	0.4268968843
416	0.4267815753
417	0.4266654534
418	0.4266186056
419	0.4264897003
420	0.4263303144
421	0.426248885
422	0.4261445858
423	0.4260519617
424	0.4259527242
425	0.4258159494
426	0.4257130912
427	0.4256405289
428	0.4255265498
429	0.4253861912
430	0.4252930129
431	0.4252362636
432	0.4251268289
433	0.4250206825
434	0.4249331569
435	0.4248274169
436	0.4247790174
437	0.4246842504
438	0.4246257276
439	0.4245422292
440	0.4244176466
441	0.4242563765
442	0.4240369161
443	0.4237902632
444	0.4236839321
445	0.4235160116
446	0.4234627352
447	0.4233134356
448	0.4232006019
449	0.4230203044
450	0.4229049584
451	0.4227721368
452	0.4225836373
453	0.4224425398
454	0.4222474639
455	0.4220948761
456	0.4219419188
457	0.4217892202
458	0.4217473232
459	0.4215828387
460	0.4214214946
461	0.4213464939
462	0.4211691521
463	0.4210364044
464	0.4209164771
465	0.4208741737
466	0.4208377078
467	0.4207966605
468	0.420617804
469	0.4205667443
470	0.4203737743
471	0.4202899804
472	0.4200963084
473	0.4199105799
474	0.4198114163
475	0.4196888657
476	0.4195198738
477	0.4193021129
478	0.4191966685
479	0.4190277504
480	0.4189042023
481	0.4187823538
482	0.418679865
483	0.4185698393
484	0.4185275728
485	0.418488262
486	0.4183847388
487	0.4183358959
488	0.4183048242
489	0.4181914732
490	0.4180150182
491	0.4179127881
492	0.4177559884
493	0.4176133022
494	0.4174814781
495	0.4173815756
496	0.417267301
497	0.4171880514
498	0.4171106122
499	0.4169524825
500	0.4168702402
501	0.4166878738
502	0.4165350643
503	0.4163756784
504	0.4162680541
505	0.4161701098
506	0.4160069923
507	0.4158363378
508	0.4157192922
509	0.415647321
510	0.4154855336
511	0.4153709635
512	0.4152695462
513	0.4151738186
514	0.4149680282
515	0.4148788771
516	0.4147648241
517	0.4146655497
518	0.4146185911
519	0.4144651905
520	0.4144198944
521	0.4142475404
522	0.4142112593
523	0.4141027113
524	0.413969705
525	0.4138847287
526	0.413820036
527	0.4137364637
528	0.413626364
529	0.4135293063
530	0.4134392684
531	0.4133815954
532	0.4132911142
533	0.4131629109
534	0.4129594112
535	0.4128104441
536	0.412603804
537	0.4124533222
538	0.4123878905
539	0.4122922367
540	0.4121467426
541	0.4120477268
542	0.4119328241
543	0.4118295226
544	0.4118241654
545	0.4116311215
546	0.4114923885
547	0.4112728172
548	0.4112115604
549	0.4110597855
550	0.4109213111
551	0.4108284653
552	0.4106876264
553	0.4106333894
554	0.4104970579
555	0.410367192
556	0.4102267965
557	0.4099563503
558	0.4098297726
559	0.4097061506
560	0.4095432179
561	0.4093517627
562	0.4091261323
563	0.4090391609
564	0.4089228173
565	0.4087821262
566	0.4087419287
567	0.4086370015
568	0.4085483307
569	0.408351001
570	0.4082229085
571	0.4081451737
572	0.4080565398
573	0.4079670192
574	0.4078106998
575	0.4076616219
576	0.4075529262
577	0.4074768909
578	0.4074018162
579	0.4072232552
580	0.4071878238
581	0.4070422189
582	0.4068291132
583	0.4067088533
584	0.40658549
585	0.406512669
586	0.406359564
587	0.4062770631
588	0.4061244383
589	0.4060437478
590	0.4059366408
591	0.4058538444
592	0.4057046187
593	0.4055593093
594	0.4054723379
595	0.4053691842
596	0.405225759
597	0.4051498346
598	0.4050152026
599	0.4049673203
