iter	Passed	Remaining
0	6	3631
1	12	3745
2	18	3780
3	25	3832
4	32	3814
5	40	3992
6	46	3965
7	53	3941
8	59	3925
9	66	3905
10	72	3895
11	78	3859
12	84	3832
13	90	3807
14	96	3781
15	103	3764
16	109	3746
17	115	3739
18	121	3728
19	128	3718
20	134	3709
21	140	3695
22	147	3695
23	153	3672
24	159	3667
25	167	3692
26	173	3684
27	180	3681
28	186	3676
29	192	3666
30	199	3668
31	205	3655
32	212	3649
33	218	3645
34	225	3632
35	231	3624
36	237	3611
37	244	3609
38	250	3604
39	256	3595
40	263	3592
41	270	3593
42	276	3587
43	283	3578
44	290	3584
45	297	3577
46	303	3569
47	309	3560
48	316	3556
49	323	3554
50	329	3550
51	336	3543
52	342	3539
53	349	3531
54	355	3520
55	361	3512
56	367	3504
57	374	3498
58	380	3489
59	386	3482
60	393	3473
61	399	3465
62	405	3456
63	411	3448
64	418	3443
65	424	3437
66	431	3429
67	437	3420
68	443	3413
69	449	3406
70	456	3399
71	462	3390
72	468	3380
73	474	3373
74	480	3365
75	487	3359
76	493	3351
77	499	3344
78	505	3335
79	511	3327
80	518	3322
81	524	3313
82	530	3305
83	537	3300
84	543	3293
85	550	3288
86	556	3281
87	562	3273
88	569	3267
89	575	3260
90	581	3253
91	587	3246
92	594	3239
93	601	3235
94	607	3229
95	613	3223
96	620	3215
97	628	3217
98	634	3210
99	640	3202
100	647	3197
101	653	3190
102	659	3182
103	665	3174
104	672	3170
105	679	3166
106	685	3158
107	692	3152
108	698	3146
109	705	3140
110	711	3135
111	718	3131
112	725	3126
113	732	3122
114	738	3115
115	745	3111
116	752	3104
117	760	3105
118	766	3099
119	773	3092
120	780	3088
121	786	3079
122	792	3072
123	801	3076
124	809	3076
125	815	3068
126	824	3071
127	831	3065
128	838	3061
129	844	3053
130	850	3046
131	857	3039
132	864	3035
133	873	3036
134	879	3029
135	887	3026
136	892	3017
137	898	3009
138	905	3003
139	912	2997
140	918	2990
141	927	2992
142	934	2986
143	941	2980
144	947	2973
145	954	2967
146	960	2961
147	967	2954
148	974	2948
149	980	2941
150	986	2934
151	992	2926
152	999	2918
153	1005	2911
154	1011	2903
155	1017	2894
156	1023	2887
157	1029	2879
158	1035	2871
159	1041	2863
160	1047	2855
161	1054	2850
162	1060	2844
163	1067	2836
164	1073	2830
165	1079	2821
166	1085	2814
167	1091	2807
168	1097	2800
169	1104	2794
170	1110	2786
171	1117	2780
172	1123	2772
173	1130	2766
174	1135	2758
175	1142	2752
176	1149	2746
177	1155	2739
178	1162	2733
179	1168	2726
180	1175	2721
181	1183	2717
182	1189	2709
183	1195	2702
184	1201	2694
185	1207	2687
186	1213	2679
187	1219	2672
188	1225	2665
189	1232	2659
190	1238	2652
191	1245	2646
